personality_trait,gift_preference
"Adventurous","Travel Kit"
"Artistic","Art Supplies"
"Tech-savvy","Smart Watch"
"Bookworm","Kindle"
"Fitness Enthusiast","Fitness Tracker"
"Foodie","Cooking Kit"
"Music Lover","Wireless Headphones"
"Homebody","Board Game"
"Fashionable","Luxury Pen"
"Creative","Customized Mug"
"Nature Lover","Plant Set"
"Social Butterfly","Subscription Box"
"Organized","Desk Organizer"
"Sentimental","Photo Album"
"Practical","Portable Speaker"
"Gifted","E-Book Subscription"
"Curious","Puzzle"
"Sporty","Gaming Chair"
"Minimalist","Backpack"
"Family-oriented","Photo Album"
